n_components,Fit Time Mean (s),Fit Time Std (s),Transform Time Mean (s),Transform Time Std (s),PCA Process Time Mean (s),PCA Process Time Std (s),Total Runtime (s)
5,0.5132169600017369,0.02269446892576141,0.012752576060593128,0.003921768986889068,0.52596953606233,0.023769750222718877,100.28836859995499
10,0.5398466399684548,0.02245183232388386,0.013670548088848591,0.003900497930647887,0.5535171880573034,0.0238764864034177,95.56904140021652
25,1.0079725959710777,0.10187871545825224,0.014115275908261537,0.0025382974671485175,1.0220878718793391,0.10153015872658581,105.0911972001195
50,1.5291646040044724,0.18916689997664635,0.017907032053917648,0.00353661265093559,1.54707163605839,0.19044873483598312,117.4965552999638
