n_components,Fit Time Mean (s),Fit Time Std (s),Transform Time Mean (s),Transform Time Std (s),GRP Process Time Mean (s),GRP Process Time Std (s),Total Runtime (s)
5,0.06156713197007775,0.013437885667294728,0.010190975982695819,0.0013396829711985235,0.07175810795277357,0.013543286271543765,82.17404159996659
10,0.06492095999419689,0.0048846437316245874,0.01069353599101305,0.0010798286478783021,0.07561449598520995,0.005352788876556847,90.27901820000261
25,0.08164803206920623,0.005172146650333511,0.013374328035861255,0.002303352683218361,0.0950223601050675,0.005562712274926236,113.36484770011157
50,0.11441850397735834,0.005138071701089793,0.01598609197884798,0.0012622494463109355,0.13040459595620632,0.005682824082764332,94.97042169980705
