n_components,Fit Time Mean (s),Fit Time Std (s),Transform Time Mean (s),Transform Time Std (s),SRP Process Time Mean (s),SRP Process Time Std (s),Total Runtime (s)
5,0.04788591202348471,0.005399680728118442,0.005752079915255308,0.0007578172637339673,0.05363799193874001,0.005857969801874572,84.31187980016693
10,0.055697571989148854,0.007054719384648785,0.0060075360722839834,0.0007164749500994409,0.06170510806143284,0.007451290412238178,88.11959629971534
25,0.07115837199613452,0.011000345415082201,0.006680095940828324,0.001897696556595485,0.07783846793696285,0.01223876697888668,106.24506370024756
50,0.10296743603423238,0.014785681855922153,0.007985215969383716,0.0019056331103687787,0.11095265200361609,0.015965118770076756,92.51095170015469
