n_components,Fit Time Mean (s),Fit Time Std (s),Transform Time Mean (s),Transform Time Std (s),Total Runtime (s),Method,Process Time Mean (s),Process Time Std (s)
5,0.5132169600017369,0.0226944689257614,0.0127525760605931,0.003921768986889,100.288368599955,PCA,0.52596953606233,0.0237697502227188
10,0.5398466399684548,0.0224518323238838,0.0136705480888485,0.0039004979306478,95.56904140021652,PCA,0.5535171880573034,0.0238764864034177
25,1.0079725959710777,0.1018787154582522,0.0141152759082615,0.0025382974671485,105.0911972001195,PCA,1.0220878718793391,0.1015301587265858
50,1.5291646040044724,0.1891668999766463,0.0179070320539176,0.0035366126509355,117.4965552999638,PCA,1.54707163605839,0.1904487348359831
5,0.0615671319700777,0.0134378856672947,0.0101909759826958,0.0013396829711985,82.17404159996659,GRP,0.0717581079527735,0.0135432862715437
10,0.0649209599941968,0.0048846437316245,0.010693535991013,0.0010798286478783,90.2790182000026,GRP,0.0756144959852099,0.0053527888765568
25,0.0816480320692062,0.0051721466503335,0.0133743280358612,0.0023033526832183,113.36484770011155,GRP,0.0950223601050675,0.0055627122749262
50,0.1144185039773583,0.0051380717010897,0.0159860919788479,0.0012622494463109,94.97042169980703,GRP,0.1304045959562063,0.0056828240827643
5,0.0478859120234847,0.0053996807281184,0.0057520799152553,0.0007578172637339,84.31187980016693,SRP,0.05363799193874,0.0058579698018745
10,0.0556975719891488,0.0070547193846487,0.0060075360722839,0.0007164749500994,88.11959629971534,SRP,0.0617051080614328,0.0074512904122381
25,0.0711583719961345,0.0110003454150822,0.0066800959408283,0.0018976965565954,106.24506370024756,SRP,0.0778384679369628,0.0122387669788866
50,0.1029674360342323,0.0147856818559221,0.0079852159693837,0.0019056331103687,92.51095170015468,SRP,0.110952652003616,0.0159651187700767
5,1.8766269120015204,0.1511264212447412,0.1737973439879715,0.0128903410416022,133.2446289001964,KPCA (RBF),2.050424255989492,0.1573323484143042
10,2.0107548439875247,0.1656917265916865,0.1723376839980483,0.013173622670919,139.4349547000602,KPCA (RBF),2.183092527985573,0.1677546290954194
25,1.9718986240029333,0.1318768301820774,0.1659637880325317,0.0089086224314425,135.00052590016276,KPCA (RBF),2.137862412035465,0.1309537718547105
50,1.9886534200049937,0.1119776657062803,0.1684369879588484,0.007890124516846,135.59412189992145,KPCA (RBF),2.157090407963842,0.1108820428042095
5,1.8042014640755952,0.1433437535046559,0.1241946920007467,0.0085626482759656,129.08664820017293,KPCA (Polynomial),1.9283961560763416,0.1464615270105996
10,1.9272459159605204,0.1255677011375066,0.1242906520143151,0.006668599509495,131.5180914001539,KPCA (Polynomial),2.051536567974836,0.1253632073022866
25,1.9265559320524333,0.1138078493268885,0.124839404001832,0.0059135531047692,132.1760693998076,KPCA (Polynomial),2.0513953360542656,0.1149062940372008
50,1.9584439880028368,0.1320241432060618,0.1247340840287506,0.0074750355760857,132.55074289999902,KPCA (Polynomial),2.083178072031588,0.1310907856644318
