n_components,Fit Time Mean (s),Fit Time Std (s),Transform Time Mean (s),Transform Time Std (s),KPCA Process Time Mean (s),KPCA Process Time Std (s),Total Runtime (s)
5,1.8766269120015204,0.15112642124474124,0.17379734398797153,0.012890341041602237,2.050424255989492,0.15733234841430427,133.2446289001964
10,2.0107548439875247,0.16569172659168657,0.1723376839980483,0.013173622670919066,2.183092527985573,0.16775462909541944,139.4349547000602
25,1.9718986240029335,0.1318768301820774,0.16596378803253173,0.008908622431442562,2.1378624120354655,0.13095377185471055,135.00052590016276
50,1.9886534200049937,0.11197766570628034,0.16843698795884848,0.007890124516846031,2.157090407963842,0.11088204280420956,135.59412189992145
