n_components,Fit Time Mean (s),Fit Time Std (s),Transform Time Mean (s),Transform Time Std (s),KPCA Process Time Mean (s),KPCA Process Time Std (s),Total Runtime (s)
5,1.8042014640755952,0.14334375350465592,0.12419469200074673,0.008562648275965675,1.9283961560763418,0.14646152701059964,129.08664820017293
10,1.9272459159605204,0.12556770113750665,0.12429065201431513,0.0066685995094950485,2.0515365679748356,0.12536320730228662,131.51809140015393
25,1.9265559320524335,0.11380784932688857,0.12483940400183201,0.005913553104769209,2.0513953360542656,0.11490629403720089,132.1760693998076
50,1.9584439880028368,0.1320241432060618,0.12473408402875066,0.007475035576085744,2.0831780720315876,0.13109078566443189,132.55074289999902
