Method,n_components,Best Accuracy,Accuracy Std
PCA,50,0.9995,0.0017305466381079
KPCA (Polynomial),50,0.996501552795031,0.0057274483024972
KPCA (RBF),50,0.971027950310559,0.0126218420991892
GRP,50,0.9620419254658386,0.0132481085125415
SRP,50,0.9428229813664598,0.0198041753872491
