n_components,Metric,Mean,Std
5,Reconstruction MSE,1.7876999035272043,0.025375177693843478
10,Reconstruction MSE,1.7875011129739702,0.025393611434204093
25,Reconstruction MSE,1.7865141283406687,0.025411220203501648
50,Reconstruction MSE,1.7839800565101374,0.025426995095701545
