n_components,Metric,Method A,Method B,Mean A,Mean B,t-statistic,p-value,Cohen's d,p-value (Holm-adjusted),Significant (α=0.05)
5,Macro Precision,PCA,GRP,0.9814968620184712,0.7118659635436414,45.99184075450661,5.957091774780163e-31,13.008456990705378,2.382836709912065e-29,True
5,Macro Precision,PCA,SRP,0.9814968620184712,0.5909825143834422,45.02394417715318,2.5991759139187428e-27,12.734694497371834,9.616950881499349e-26,True
5,Macro Precision,PCA,KPCA (RBF),0.9814968620184712,0.9607680563786716,6.319388204450264,8.194615922489079e-08,1.7873929009268248,7.375154330240171e-07,True
5,Macro Precision,PCA,KPCA (Polynomial),0.9814968620184712,0.9794693127398524,0.6899067974738822,0.49369809454132624,0.19513510995219047,0.9873961890826525,False
5,Macro Precision,GRP,SRP,0.7118659635436414,0.5909825143834422,12.131088548738536,3.7106274605945934e-15,3.4311899903949965,8.534443159367565e-14,True
5,Macro Precision,GRP,KPCA (RBF),0.7118659635436414,0.9607680563786716,-42.17654472221069,3.274975421290874e-30,-11.929328312037148,1.277240414303441e-28,True
5,Macro Precision,GRP,KPCA (Polynomial),0.7118659635436414,0.9794693127398524,-46.79392522467928,2.4157099049927374e-29,-13.23532073788278,9.179697638972401e-28,True
5,Macro Precision,SRP,KPCA (RBF),0.5909825143834422,0.9607680563786716,-42.50511112373141,7.525241055113451e-27,-12.022260924271293,2.7090867798408424e-25,True
5,Macro Precision,SRP,KPCA (Polynomial),0.5909825143834422,0.9794693127398524,-45.294406428120546,1.498050749473673e-26,-12.811192774057432,5.243177623157856e-25,True
5,Macro Precision,KPCA (RBF),KPCA (Polynomial),0.9607680563786716,0.9794693127398524,-6.201435055118179,1.501431610122816e-07,-1.7540307122248144,1.2011452880982528e-06,True
10,Macro Precision,PCA,GRP,0.9966279348079145,0.8073349044910556,33.14000749211147,2.029987305650589e-22,9.373409610498006,5.6839644558216486e-21,True
10,Macro Precision,PCA,SRP,0.9966279348079145,0.7597403839379647,34.568018367898404,1.33994630709316e-22,9.777312080048837,4.085599241569408e-21,True
10,Macro Precision,PCA,KPCA (RBF),0.9966279348079145,0.981886466966237,9.084358627933312,1.2031978069678447e-11,2.5694446354168665,1.9251164911485514e-10,True
10,Macro Precision,PCA,KPCA (Polynomial),0.9966279348079145,0.9939729934601248,1.8481787253183386,0.07082070176321674,0.5227438838069227,0.28328280705286696,False
10,Macro Precision,GRP,SRP,0.8073349044910556,0.7597403839379647,5.397487163934746,2.2379004447110415e-06,1.5266399099942418,1.566530311297729e-05,True
10,Macro Precision,GRP,KPCA (RBF),0.8073349044910556,0.981886466966237,-30.190434629471305,4.129331308915324e-22,-8.539144421387332,1.0736261403179842e-20,True
10,Macro Precision,GRP,KPCA (Polynomial),0.8073349044910556,0.9939729934601248,-32.55954930329109,1.9240721250192705e-22,-9.209231241893944,5.579809162555884e-21,True
10,Macro Precision,SRP,KPCA (RBF),0.7597403839379647,0.981886466966237,-32.143592033102266,2.4706497753430674e-22,-9.0915807593202,6.670754393426282e-21,True
10,Macro Precision,SRP,KPCA (Polynomial),0.7597403839379647,0.9939729934601248,-34.09640724136191,1.3179352392159383e-22,-9.643920309786044,4.085599241569408e-21,True
10,Macro Precision,KPCA (RBF),KPCA (Polynomial),0.981886466966237,0.9939729934601248,-7.140124752804895,5.506049951945702e-09,-2.0195322524905053,5.506049951945702e-08,True
25,Macro Precision,PCA,GRP,0.998356351150472,0.888717625936427,17.636758831699527,9.874581479551422e-16,4.988428707218587,2.4686453698878553e-14,True
25,Macro Precision,PCA,SRP,0.998356351150472,0.8847524608741779,34.81735418483069,3.018382683578735e-25,9.847834898827042,9.960662855809825e-24,True
25,Macro Precision,PCA,KPCA (RBF),0.998356351150472,0.9826333772436098,8.90616695298629,2.5840015763744167e-11,2.5190444187344543,3.876002364561625e-10,True
25,Macro Precision,PCA,KPCA (Polynomial),0.998356351150472,0.996240189815864,1.510853639935547,0.1373950336364521,0.4273339416715215,0.41218510090935634,False
25,Macro Precision,GRP,SRP,0.888717625936427,0.8847524608741779,0.5769073598927594,0.5676404227729664,0.1631740425186393,0.9873961890826525,False
25,Macro Precision,GRP,KPCA (RBF),0.888717625936427,0.9826333772436098,-14.903414679347096,1.898584677040973e-14,-4.215322233040586,4.1768862894901404e-13,True
25,Macro Precision,GRP,KPCA (Polynomial),0.888717625936427,0.996240189815864,-17.316322341628425,1.6683865096539696e-15,-4.89779558119103,4.004127623169527e-14,True
25,Macro Precision,SRP,KPCA (RBF),0.8847524608741779,0.9826333772436098,-28.60113243394671,2.384134534726674e-25,-8.089621877463289,8.106057418070691e-24,True
25,Macro Precision,SRP,KPCA (Polynomial),0.8847524608741779,0.996240189815864,-34.31268271723129,8.335253026826653e-25,-9.705092252022679,2.667280968584529e-23,True
25,Macro Precision,KPCA (RBF),KPCA (Polynomial),0.9826333772436098,0.996240189815864,-7.820077966328985,1.0151314559648176e-09,-2.2118520637594927,1.2181577471577812e-08,True
50,Macro Precision,PCA,GRP,0.999448275862069,0.9578073693642346,13.60713096204927,5.417076091591972e-13,3.8486778303033877,1.1375859792343141e-11,True
50,Macro Precision,PCA,SRP,0.999448275862069,0.9377129787054372,12.729864575345289,3.0431167962518094e-12,3.6005494259252258,5.477610233253257e-11,True
50,Macro Precision,PCA,KPCA (RBF),0.999448275862069,0.9842982591926096,11.943966663904632,1.1537685890802327e-12,3.3782639289252123,2.192160319252442e-11,True
50,Macro Precision,PCA,KPCA (Polynomial),0.999448275862069,0.9974277318762156,2.1347392504180194,0.04030059627349332,0.6037954400142675,0.20150298136746658,False
50,Macro Precision,GRP,SRP,0.9578073693642346,0.9377129787054372,3.5197943075816736,0.0010857102260224995,0.995548169309124,0.006514261356134997,True
50,Macro Precision,GRP,KPCA (RBF),0.9578073693642346,0.9842982591926096,-8.105256608145554,3.3768350795313444e-09,-2.292512764350718,3.7145185874844787e-08,True
50,Macro Precision,GRP,KPCA (Polynomial),0.9578073693642346,0.9974277318762156,-12.548432315439706,5.497991598310141e-13,-3.5492326334031308,1.1375859792343141e-11,True
50,Macro Precision,SRP,KPCA (RBF),0.9377129787054372,0.9842982591926096,-9.34772583816746,5.928920534926328e-10,-2.643936131536366,7.707596695404227e-09,True
50,Macro Precision,SRP,KPCA (Polynomial),0.9377129787054372,0.9974277318762156,-12.158058744051365,4.029036187897817e-12,-3.4388183135932477,6.849361519426289e-11,True
50,Macro Precision,KPCA (RBF),KPCA (Polynomial),0.9842982591926096,0.9974277318762156,-8.825735379216644,3.009334067461169e-11,-2.496294934240846,4.213067694445637e-10,True
5,Macro Recall,PCA,GRP,0.9815126071884692,0.7033946360153257,52.36435670155047,9.35874528977428e-37,14.810876686455027,3.5563232101142263e-35,True
5,Macro Recall,PCA,SRP,0.9815126071884692,0.5623968436416711,58.594838362433364,2.2614356764174845e-33,16.573123019442516,7.915024867461196e-32,True
5,Macro Recall,PCA,KPCA (RBF),0.9815126071884692,0.922098266739646,11.580438671262568,3.881726873615898e-14,3.2754426854258774,8.539799121954976e-13,True
5,Macro Recall,PCA,KPCA (Polynomial),0.9815126071884692,0.9692353585112206,2.851058652176345,0.006579620482296592,0.8064011626057886,0.03947772289377955,True
5,Macro Recall,GRP,SRP,0.7033946360153257,0.5623968436416711,17.357488006094467,5.425505144537386e-21,4.909438989389425,1.4106313375797203e-19,True
5,Macro Recall,GRP,KPCA (RBF),0.7033946360153257,0.922098266739646,-34.09491782239605,2.995292265241602e-35,-9.64349903848573,1.0783052154869767e-33,True
5,Macro Recall,GRP,KPCA (Polynomial),0.7033946360153257,0.9692353585112206,-46.02167962922718,4.899658894526227e-39,-13.016896698968534,1.9598635578104907e-37,True
5,Macro Recall,SRP,KPCA (RBF),0.5623968436416711,0.922098266739646,-44.927675824512974,5.716968027044821e-37,-12.707465695385615,2.22961753054748e-35,True
5,Macro Recall,SRP,KPCA (Polynomial),0.5623968436416711,0.9692353585112206,-54.211245065467004,4.537026589753279e-36,-15.333255600942993,1.6786998382087133e-34,True
5,Macro Recall,KPCA (RBF),KPCA (Polynomial),0.922098266739646,0.9692353585112206,-8.401149564642047,8.689529970514062e-11,-2.376203930768321,1.129638896166828e-09,True
