n_components,Metric,Mean,Std
5,Reconstruction MSE,1.7711920493309359,0.02514372982693064
10,Reconstruction MSE,1.7702454585549585,0.02510208252430394
25,Reconstruction MSE,1.769963988749458,0.025099511561736277
50,Reconstruction MSE,1.7698769386767705,0.025099309445231293
