n_components,GRP,KPCA (Polynomial),KPCA (RBF),PCA,SRP
5,0.7286,0.977,0.9361,0.9838,0.581
10,0.8037,0.9913,0.9658,0.9958,0.7838
25,0.8939,0.9943,0.9678,0.9985,0.8851
50,0.962,0.9965,0.971,0.9995,0.9428
