n_components,Metric,Mean,Std
5,Reconstruction MSE,1.7879528536671352,0.025394195259794826
10,Reconstruction MSE,1.7871601013119078,0.025366581758418945
25,Reconstruction MSE,1.7862519983723315,0.025347025241003802
50,Reconstruction MSE,1.7843537573218062,0.025365829823446182
