Principal Component,Explained Variance Ratio,Cumulative Explained Variance
180,0.0007490151614288139,0.7983299857335183
181,0.0007482576642686751,0.799078243397787
182,0.0007397729376845333,0.7998180163354716
183,0.0007340878986538963,0.8005521042341255
184,0.0007309622052101362,0.8012830664393357
185,0.0007287917975193305,0.802011858236855
186,0.000727930073592246,0.8027397883104472
187,0.0007237629891744165,0.8034635512996217
188,0.0007207262371376863,0.8041842775367594
189,0.0007180481118965081,0.8049023256486558
190,0.0007148253657189931,0.8056171510143748
191,0.0007127296506545906,0.8063298806650294
192,0.0007098995625982233,0.8070397802276277
193,0.0007057679680992216,0.8077455481957269
194,0.0007029250417487815,0.8084484732374756
195,0.0007001634321457402,0.8091486366696213
196,0.0006991389010352563,0.8098477755706566
197,0.000693967090359576,0.8105417426610162
198,0.0006920756401848808,0.8112338183012011
199,0.0006897792659236055,0.8119235975671247
200,0.0006844706259067667,0.8126080681930316
201,0.0006820092286704664,0.813290077421702
202,0.0006806726007716396,0.8139707500224737
203,0.0006770036899893428,0.814647753712463
204,0.0006737862264584107,0.8153215399389214
205,0.0006729160765685617,0.81599445601549
206,0.0006698805443301111,0.8166643365598202
207,0.000667023002828116,0.8173313595626484
208,0.000662688541230739,0.8179940481038791
209,0.0006569932554678196,0.818651041359347
210,0.0006560883274667407,0.8193071296868137
211,0.0006514048074073813,0.8199585344942211
212,0.0006496579907519283,0.820608192484973
213,0.0006489266411697372,0.8212571191261427
214,0.0006433940008363347,0.8219005131269791
215,0.0006402586654471386,0.8225407717924262
216,0.0006379125248923904,0.8231786843173187
217,0.0006360145257907866,0.8238146988431094
218,0.0006330280155534674,0.8244477268586629
219,0.0006310634673770633,0.8250787903260399
220,0.000627375637884148,0.8257061659639241
221,0.0006265705993567286,0.8263327365632809
222,0.0006239780356617576,0.8269567145989426
223,0.0006204801664788106,0.8275771947654215
224,0.0006158599942766108,0.8281930547596981
225,0.000614469851375444,0.8288075246110735
226,0.0006127782791736632,0.8294203028902472
227,0.0006114714476041633,0.8300317743378514
228,0.0006081696503351299,0.8306399439881865
229,0.0006067419554865518,0.8312466859436731
230,0.0006027564610589074,0.831849442404732
231,0.0005999329544789173,0.8324493753592109
232,0.0005975861881497076,0.8330469615473607
233,0.0005964320153826214,0.8336433935627433
234,0.0005946944116164263,0.8342380879743597
235,0.0005936302746697101,0.8348317182490295
236,0.0005919729091515583,0.835423691158181
237,0.0005898657292326223,0.8360135568874136
238,0.0005830382345126757,0.8365965951219263
239,0.000580823412334987,0.8371774185342613
240,0.0005805567526227549,0.8377579752868841
241,0.0005794630321357122,0.8383374383190199
242,0.0005782359229996639,0.8389156742420195
243,0.0005756183240205204,0.83949129256604
244,0.0005727421843404834,0.8400640347503805
245,0.0005689829768967083,0.8406330177272772
246,0.0005683456222305615,0.8412013633495077
247,0.0005661858485640124,0.8417675491980717
248,0.0005654954006879482,0.8423330445987597
249,0.0005627860165402756,0.8428958306152999
250,0.00055767531577878,0.8434535059310787
251,0.0005569376520955707,0.8440104435831742
252,0.0005546087338793234,0.8445650523170536
253,0.0005537540675987915,0.8451188063846524
254,0.0005533676409777991,0.8456721740256302
255,0.0005499950502940266,0.8462221690759243
256,0.0005466841321313653,0.8467688532080556
257,0.0005455761482209701,0.8473144293562765
258,0.0005452210406269383,0.8478596503969035
259,0.0005433692747272118,0.8484030196716307
260,0.0005386702264765736,0.8489416898981073
261,0.0005375278723629496,0.8494792177704702
262,0.0005352516455506065,0.8500144694160208
263,0.0005343625494390137,0.8505488319654598
264,0.0005337987051553336,0.8510826306706152
265,0.0005322665610017782,0.851614897231617
266,0.0005307662738137117,0.8521456635054308
267,0.0005288416280028797,0.8526745051334337
268,0.0005272401113791614,0.8532017452448128
269,0.0005236099792701507,0.853725355224083
270,0.0005225464833091741,0.8542479017073922
271,0.0005210563529511327,0.8547689580603434
272,0.0005179456107122707,0.8552869036710556
273,0.0005163648664843237,0.85580326853754
274,0.0005154099497647828,0.8563186784873047
275,0.000513813750765266,0.85683249223807
276,0.0005104867238030262,0.8573429789618731
277,0.0005096240304324162,0.8578526029923055
278,0.0005084221321238855,0.8583610251244294
279,0.000507620124957318,0.8588686452493867
280,0.0005046921399264535,0.8593733373893131
281,0.0005012336044095153,0.8598745709937227
282,0.0004996694706492666,0.8603742404643719
283,0.0004992937192185506,0.8608735341835905
284,0.000497918043875149,0.8613714522274656
285,0.0004965321104396142,0.8618679843379052
286,0.0004960757003909141,0.8623640600382961
287,0.0004940314781264607,0.8628580915164226
288,0.0004921562373521019,0.8633502477537747
289,0.0004911234722323739,0.863841371226007
290,0.0004884793972617834,0.8643298506232688
291,0.00048694532587134507,0.8648167959491402
292,0.00048643754363503693,0.8653032334927753
293,0.00048439001351814094,0.8657876235062935
294,0.00048366078193439805,0.8662712842882279
295,0.0004822068685349598,0.8667534911567628
296,0.0004805700561113903,0.8672340612128742
297,0.00047918392353117715,0.8677132451364054
298,0.0004787245585407143,0.868191969694946
299,0.0004774920141385253,0.8686694617090845
300,0.0004743735394943295,0.8691438352485789
301,0.00047316849205519265,0.869617003740634
302,0.00047258204715775484,0.8700895857877917
303,0.0004716331347759051,0.8705612189225677
304,0.0004697905362053997,0.8710310094587731
305,0.0004675727346864357,0.8714985821934595
306,0.00046703548405135296,0.8719656176775109
307,0.0004663635010149342,0.8724319811785258
308,0.00046356958993889563,0.8728955507684647
309,0.00046313867165537,0.8733586894401201
310,0.0004616716078654023,0.8738203610479854
311,0.0004600928242416659,0.8742804538722271
312,0.0004586330643031565,0.8747390869365302
313,0.0004570653639339319,0.8751961523004642
314,0.0004554328345099398,0.8756515851349742
315,0.00045277313842394663,0.8761043582733982
316,0.0004525260262713294,0.8765568842996695
317,0.00045119818149971997,0.8770080824811692
318,0.00044948969069341047,0.8774575721718626
319,0.0004482121173455765,0.8779057842892082
320,0.0004473817887752408,0.8783531660779834
321,0.00044693043593862846,0.878800096513922
322,0.0004450408150885588,0.8792451373290106
323,0.00044350619892516836,0.8796886435279357
324,0.0004429242715042528,0.88013156779944
325,0.0004410070342240055,0.880572574833664
326,0.00043914747176136747,0.8810117223054253
327,0.00043881750452265893,0.881450539809948
328,0.000437352388221866,0.8818878921981699
329,0.00043688611952934545,0.8823247783176992
330,0.0004361039893054899,0.8827608823070047
331,0.00043328835222258935,0.8831941706592272
332,0.0004319086772853135,0.8836260793365125
333,0.0004313839303374939,0.88405746326685
334,0.0004310362801946961,0.8844884995470447
335,0.0004296565599078546,0.8849181561069526
336,0.0004272223413237059,0.8853453784482763
337,0.00042612843453990125,0.8857715068828163
338,0.00042518939052100136,0.8861966962733373
339,0.0004228364648567918,0.886619532738194
340,0.0004216736218457168,0.8870412063600398
341,0.00041964121698536924,0.8874608475770251
342,0.0004189173440748904,0.8878797649211
343,0.0004186989059290009,0.888298463827029
344,0.00041746553612453875,0.8887159293631536
345,0.00041653894464743687,0.889132468307801
346,0.00041523602173127973,0.8895477043295323
347,0.00041334822832134725,0.8899610525578537
348,0.0004121607272011148,0.8903732132850548
349,0.00041118226417681997,0.8907843955492316
350,0.00041000551706625485,0.8911944010662979
351,0.000408849570071274,0.8916032506363691
352,0.0004074330378695126,0.8920106836742386
353,0.00040618831616051187,0.8924168719903991
354,0.000405825777325446,0.8928226977677245
355,0.00040517922951363914,0.8932278769972382
356,0.00040360635137682584,0.893631483348615
357,0.0004026797711468925,0.8940341631197619
358,0.00040223274955275437,0.8944363958693147
359,0.00040063755308491486,0.8948370334223996
360,0.00039865105498133836,0.895235684477381
361,0.00039834107025179513,0.8956340255476328
362,0.0003971131830283584,0.8960311387306612
363,0.00039530021895930486,0.8964264389496205
364,0.0003949191741387036,0.8968213581237592
365,0.00039354818573598407,0.8972149063094952
366,0.0003930988088514695,0.8976080051183467
367,0.00039244685522263725,0.8980004519735694
368,0.0003913990813577347,0.8983918510549271
369,0.00039006335831227005,0.8987819144132394
370,0.0003895669655100425,0.8991714813787495
371,0.00038895619387987356,0.8995604375726294
372,0.0003870331872209154,0.8999474707598503
373,0.0003867014776704034,0.9003341722375207
374,0.0003850944293619605,0.9007192666668826
375,0.00038418563889213917,0.9011034523057747
376,0.0003831077850062105,0.9014865600907809
377,0.00038208759454674005,0.9018686476853276
378,0.00038108838765116954,0.9022497360729788
379,0.0003805009097621752,0.9026302369827409
380,0.000378603182342353,0.9030088401650833
381,0.0003778355809766102,0.9033866757460599
382,0.00037696176201864836,0.9037636375080785
383,0.0003759737164439774,0.9041396112245225
384,0.0003730830521693961,0.9045126942766919
385,0.00037232670512218636,0.9048850209818141
386,0.000371901332394168,0.9052569223142083
387,0.0003710556591052587,0.9056279779733135
388,0.0003691490750666082,0.9059971270483801
389,0.0003688146999843786,0.9063659417483645
390,0.0003682958778830995,0.9067342376262476
391,0.0003682016666252508,0.9071024392928728
392,0.00036625080948190586,0.9074686901023548
393,0.00036620701802527833,0.90783489712038
394,0.0003646289474341689,0.9081995260678142
395,0.0003643530345594392,0.9085638791023736
396,0.00036246517895517367,0.9089263442813288
397,0.0003618046953360857,0.9092881489766649
398,0.0003608202634120355,0.9096489692400769
399,0.000359941294246718,0.9100089105343236
400,0.0003592375843942694,0.9103681481187179
401,0.00035719215361017297,0.9107253402723281
402,0.00035684374558594837,0.9110821840179141
403,0.0003561101625856594,0.9114382941804997
404,0.0003550917038883708,0.9117933858843881
405,0.0003542252801459236,0.912147611164534
406,0.0003539693830150574,0.912501580547549
407,0.00035269303278930155,0.9128542735803383
408,0.00035196992840589973,0.9132062435087442
409,0.00035109218802987905,0.9135573356967741
410,0.00035010856892323563,0.9139074442656974
411,0.00034915278662974103,0.9142565970523271
412,0.0003489150905034012,0.9146055121428305
413,0.0003470049429063548,0.9149525170857369
414,0.00034500442388826964,0.9152975215096252
415,0.00034486793816595855,0.9156423894477911
416,0.00034397454782584066,0.915986363995617
417,0.0003435778549695736,0.9163299418505865
418,0.00034179059880016756,0.9166717324493866
419,0.00034141566178031303,0.917013148111167
