Kernel,n_components,Silhouette Score
RBF,5,0.3791404224096969
RBF,10,0.31213616369638836
RBF,25,0.22315114052157303
RBF,50,0.18214990305645018
Polynomial,5,0.4048803870064568
Polynomial,10,0.3428804010867065
Polynomial,25,0.2708118356958529
Polynomial,50,0.22972704136266045
