n_components,GRP,KPCA (Polynomial),KPCA (RBF),PCA,SRP
5,0.7119,0.9795,0.9608,0.9815,0.591
10,0.8073,0.994,0.9819,0.9966,0.7597
25,0.8887,0.9962,0.9826,0.9984,0.8848
50,0.9578,0.9974,0.9843,0.9994,0.9377
