n_components,GRP,KPCA (Polynomial),KPCA (RBF),PCA,SRP
5,0.7119 ± 0.027,0.9795 ± 0.0093,0.9608 ± 0.0118,0.9815 ± 0.0113,0.591 ± 0.0419
10,0.8073 ± 0.0282,0.994 ± 0.0054,0.9819 ± 0.0066,0.9966 ± 0.0048,0.7597 ± 0.0339
25,0.8887 ± 0.0307,0.9962 ± 0.0048,0.9826 ± 0.0072,0.9984 ± 0.0051,0.8848 ± 0.0155
50,0.9578 ± 0.0152,0.9974 ± 0.0043,0.9843 ± 0.006,0.9994 ± 0.0019,0.9377 ± 0.0242
