n_components,GRP,KPCA (Polynomial),KPCA (RBF),PCA,SRP
5,0.7039,0.9734,0.9385,0.9811,0.5677
10,0.8037,0.9904,0.9679,0.9957,0.7552
25,0.889,0.9939,0.9695,0.998,0.8872
50,0.9609,0.9958,0.9725,0.9992,0.941
