n_components,GRP,KPCA (Polynomial),KPCA (RBF),PCA,SRP
5,0.7034,0.9692,0.9221,0.9815,0.5624
10,0.8044,0.9873,0.9566,0.9948,0.7572
25,0.8925,0.9919,0.9589,0.9976,0.8939
50,0.9655,0.9944,0.9628,0.999,0.9468
