n_components,GRP,KPCA (Polynomial),KPCA (RBF),PCA,SRP
5,0.9213 ± 0.0101,0.9983 ± 0.0016,0.9957 ± 0.0018,0.999 ± 0.0012,0.8517 ± 0.0185
10,0.9526 ± 0.0094,0.9999 ± 0.0001,0.9997 ± 0.0003,1.0 ± 0.0001,0.9483 ± 0.0096
25,0.9802 ± 0.0083,1.0 ± 0.0001,0.9998 ± 0.0003,1.0 ± 0.0,0.9761 ± 0.0063
50,0.9981 ± 0.0011,1.0 ± 0.0,0.9998 ± 0.0002,1.0 ± 0.0,0.9941 ± 0.0034
