n_components,GRP,KPCA (Polynomial),KPCA (RBF),PCA,SRP
5,0.9213,0.9983,0.9957,0.999,0.8517
10,0.9526,0.9999,0.9997,1.0,0.9483
25,0.9802,1.0,0.9998,1.0,0.9761
50,0.9981,1.0,0.9998,1.0,0.9941
